Gene	sgRNA	eff
NPFFR2	s_37651	0.573
NPFFR2	s_37652	0.576
TRIM42	s_58933	1
TRIM42	s_58934	0.518
TRIM42	s_58935	0.853
TRIM42	s_58936	0.341
TRIM42	s_58937	1
SCARA3	s_49186	0.906
SCARA3	s_49187	0.677
PTN	s_45069	0.503
PTN	s_45070	0.631
ESR2	s_18757	0.391
ESR2	s_18758	0.74
ESR2	s_18759	0.44
ESR2	s_18760	1
CHRNB3	s_11848	0.824
CHRNB3	s_11849	0.759
ERAS	s_18559	0.854
ERAS	s_18560	0.538
PRAMEF12	s_43828	1
PRAMEF12	s_43829	0.424
PRAMEF12	s_43830	1
PRAMEF12	s_43831	0.505
PRAMEF12	s_43832	0.337
LMOD2	s_31281	0.989
LMOD2	s_31282	0.953
PTTG1IP	s_45275	0.296
PTTG1IP	s_45276	0.746
TYMS	s_59996	0.281
TYMS	s_59997	0.803
TYMS	s_59998	0.508
BCAR3	s_5093	0.714
BCAR3	s_5094	1
BCAR3	s_5095	0.619
BCAR3	s_5096	1
BCAR3	s_5097	0.888
BCAR3	s_5098	1
BCAR3	s_5099	0.936
BCAR3	s_5100	1
KAT6B	s_28428	0.635
KAT6B	s_28429	0.698
KAT6B	s_28430	0.852
KAT6B	s_28431	1
SLC35D3	s_51747	0.189
SLC35D3	s_51748	1
SLC35D3	s_51749	1
NOX4	s_37578	0.427
NOX4	s_37579	0.01
NOX4	s_37580	0.303
NOX4	s_37581	0.39
BARX1	s_4976	0.698
BARX1	s_4977	1
BARX1	s_4978	0.295
BARX1	s_4979	1
AP5S1	s_2865	0.318
AP5S1	s_2866	0.991
AP5S1	s_2867	1
AP5S1	s_2868	0.483
C10orf12	s_6059	0.933
C10orf12	s_6060	0.0336
SIGLEC9	s_50720	0.942
SIGLEC9	s_50721	0.872
SIGLEC9	s_50722	1
SIGLEC9	s_50723	0.668
KIF3A	s_29478	0.853
KIF3A	s_29479	0.878
KIF3A	s_29480	0.01
FRY	s_21652	0.528
FRY	s_21653	0.708
FRY	s_21654	0.896
SRGN	s_53850	0.482
SRGN	s_53851	0.623
SRGN	s_53852	0.806
SRGN	s_53853	0.518
MRPS30	s_34869	0.951
MRPS30	s_34870	0.802
MRPS30	s_34871	0.14
MRPS30	s_34872	1
MRPS30	s_34873	0.709
MRPS30	s_34874	0.327
NME7	s_37324	0.258
NME7	s_37325	1
NME7	s_37326	0.683
NME7	s_37327	0.408
NME7	s_37328	0.935
BBS7	s_5065	0.738
BBS7	s_5066	0.948
FBXO43	s_20580	1
FBXO43	s_20581	0.278
FBXO43	s_20582	1
FBXO43	s_20583	0.971
UBE2A	s_60116	0.421
UBE2A	s_60117	0.78
UBE2A	s_60118	0.538
UBE2A	s_60119	0.748
UBE2A	s_60120	0.618
EDEM1	s_17407	0.572
EDEM1	s_17408	0.708
EDEM1	s_17409	0.591
EDEM1	s_17410	1
EDEM1	s_17411	0.918
MYCL1	s_35547	1
MYCL1	s_35548	0.441
MYCL1	s_35549	0.473
MYCL1	s_35550	0.465
MYCL1	s_35551	0.896
MYCL1	s_35552	1
MYCL1	s_35553	0.658
MYCL1	s_35554	0.811
POLR3A	s_43098	1
POLR3A	s_43099	0.432
POLR3A	s_43100	1
POLR3A	s_43101	1
MAGEB6	s_32398	0.834
MAGEB6	s_32399	0.732
CHRNA7	s_11829	0.675
CHRNA7	s_11830	0.857
CHRNA7	s_11831	0.617
CHRNA7	s_11832	0.807
MMP27	s_34238	0.453
MMP27	s_34239	0.397
MMP27	s_34240	0.324
MMP27	s_34241	0.934
PLG	s_42565	1
PLG	s_42566	0.768
PLG	s_42567	1
PLG	s_42568	0.918
FEN1	s_20796	0.853
FEN1	s_20797	0.245
SLC6A16	s_52130	0.52
SLC6A16	s_52131	0.378
SLC6A16	s_52132	0.542
SLC6A16	s_52133	1
ZMAT2	s_63194	1
ZMAT2	s_63195	0.397
ZMAT2	s_63196	0.292
ZMAT2	s_63197	0.626
LIN9	s_31113	0.267
LIN9	s_31114	1
LIN9	s_31115	1
LIN9	s_31116	0.639
ZNF599	s_64269	0.929
ZNF599	s_64270	0.834
ZNF599	s_64271	0.969
ZNF599	s_64272	0.663
HSPB6	s_26307	1
HSPB6	s_26308	0.595
HSPB6	s_26309	1
HSPB6	s_26310	0.51
NIT1	s_37084	0.733
NIT1	s_37085	0.452
NIT1	s_37086	0.946
NIT1	s_37087	0.988
NIT1	s_37088	1
RAB11FIP4	s_45580	1
RAB11FIP4	s_45581	0.266
RAB11FIP4	s_45582	0.676
RAB11FIP4	s_45583	1
ARHGAP18	s_3261	0.552
ARHGAP18	s_3262	0.603
ARHGAP18	s_3263	1
ARHGAP18	s_3264	0.873
SOWAHC	s_53117	0.862
SOWAHC	s_53118	1
SOWAHC	s_53119	1
CRIM1	s_13623	0.664
CRIM1	s_13624	1
CRIM1	s_13625	1
CRIM1	s_13626	1
CRIM1	s_13627	1
OR4D11	s_39185	0.11
OR4D11	s_39186	1
ZNF425	s_63872	0.582
ZNF425	s_63873	0.575
HHIPL2	s_25253	0.156
HHIPL2	s_25254	0.504
HHIPL2	s_25255	0.692
HHIPL2	s_25256	0.747
HHIPL2	s_25257	1
DLL3	s_16162	0.697
DLL3	s_16163	0.905
DLL3	s_16164	0.54
ADAM28	s_984	1
ADAM28	s_985	0.734
ADAM28	s_986	0.345
ADAM28	s_987	1
GPR137C	s_23700	0.847
GPR137C	s_23701	0.925
GPR137C	s_23702	0.604
RBM39	s_46452	0.343
RBM39	s_46453	0.509
CFB	s_11442	0.527
CFB	s_11443	1
CFB	s_11444	0.981
CFB	s_11445	0.752
TIMM50	s_56677	0.672
TIMM50	s_56678	0.824
TIMM50	s_56679	0.801
ARL10	s_3523	0.326
ARL10	s_3524	1
ARL10	s_3525	0.448
ZMYM4	s_63235	0.0467
ZMYM4	s_63236	1
CCDC85B	s_9847	1
CCDC85B	s_9848	0.369
MIPEP	s_33983	0.439
MIPEP	s_33984	0.573
MIPEP	s_33985	0.632
MIPEP	s_33986	0.868
EFNA3	s_17576	1
EFNA3	s_17577	0.96
EFNA3	s_17578	0.81
EFNA3	s_17579	0.912
NUDT16L1	s_38261	0.542
NUDT16L1	s_38262	1
NUDT16L1	s_38263	1
NUDT16L1	s_38264	1
GCG	s_22439	1
GCG	s_22440	0.304
PDCD2L	s_40860	1
PDCD2L	s_40861	0.948
PDCD2L	s_40862	1
PDCD2L	s_40863	1
FAM200B	s_19791	0.488
FAM200B	s_19792	0.709
GTF2A1	s_24376	0.248
GTF2A1	s_24377	0.75
GTF2A1	s_24378	0.9
GTF2A1	s_24379	0.231
IFT52	s_26778	0.927
IFT52	s_26779	1
IFT52	s_26780	0.501
IFT52	s_26781	0.912
IFT140	s_26757	1
IFT140	s_26758	0.8
IFT140	s_26759	0.64
C8orf44	s_8355	0.161
C8orf44	s_8356	0.141
C8orf44	s_8357	1
C8orf44	s_8358	1
FASTKD5	s_20356	0.956
FASTKD5	s_20357	0.598
XAGE3	s_62217	0.764
XAGE3	s_62218	0.712
XAGE3	s_62219	0.687
FAM120AOS	s_19339	0.733
FAM120AOS	s_19340	0.965
TAS2R31	s_55439	0.778
TAS2R31	s_55440	0.772
C20orf160	s_7425	0.857
C20orf160	s_7426	1
C20orf160	s_7427	1
C20orf160	s_7428	0.83
TFAP2E	s_56233	0.712
TFAP2E	s_56234	1
TFAP2E	s_56235	0.75
TFAP2E	s_56236	0.927
TFAP2E	s_56237	0.685
STIM1	s_54355	0.467
STIM1	s_54356	1
STIM1	s_54357	1
ALDH16A1	s_1908	0.624
ALDH16A1	s_1909	0.753
ALDH16A1	s_1910	0.764
ATP6V1C1	s_4471	0.0364
ATP6V1C1	s_4472	1
ATP6V1C1	s_4473	0.955
KCNE1L	s_28590	1
KCNE1L	s_28591	0.698
DNAJA1	s_16351	0.716
DNAJA1	s_16352	0.91
DNAJA1	s_16353	0.874
SEC11C	s_49586	0.721
SEC11C	s_49587	0.154
TRMT13	s_59104	0.483
TRMT13	s_59105	0.552
OR10W1	s_38901	0.0466
OR10W1	s_38902	0.339
OGFRL1	s_38672	0.385
OGFRL1	s_38673	0.279
OGFRL1	s_38674	0.255
RAB5C	s_45759	0.99
RAB5C	s_45760	0.158
RAB5C	s_45761	0.6
LVRN	s_32085	0.531
LVRN	s_32086	0.832
LPCAT4	s_31398	0.847
LPCAT4	s_31399	0.689
LPCAT4	s_31400	0.53
HRSP12	s_26093	0.745
HRSP12	s_26094	0.881
CLIC1	s_12310	0.536
CLIC1	s_12311	0.955
CLIC1	s_12312	0.794
ROBO4	s_47837	0.794
ROBO4	s_47838	0.298
ROBO4	s_47839	1
ROBO4	s_47840	0.788
PSMD14	s_44783	0.881
PSMD14	s_44784	0.543
PSMD14	s_44785	0.685
EMP2	s_18163	1
EMP2	s_18164	0.134
EMP2	s_18165	0.375
NDUFS6	s_36562	1
NDUFS6	s_36563	0.793
NDUFS6	s_36564	1
NDUFS6	s_36565	0.778
THNSL2	s_56511	0.947
THNSL2	s_56512	0.552
THNSL2	s_56513	0.709
THNSL2	s_56514	0.984
THNSL2	s_56515	0.536
ILF3	s_27381	0.379
ILF3	s_27382	0.963
ILF3	s_27383	0.685
ILF3	s_27384	0.755
WNT7A	s_62104	0.239
WNT7A	s_62105	1
WNT7A	s_62106	0.808
WNT7A	s_62107	0.79
RPS28	s_48308	0.766
RPS28	s_48309	0.541
PLCE1	s_42381	0.996
PLCE1	s_42382	1
PLCE1	s_42383	0.749
UPK1A	s_60706	0.664
UPK1A	s_60707	1
UPK1A	s_60708	0.543
UPK1A	s_60709	0.802
LNX1	s_31308	0.762
LNX1	s_31309	0.735
MEF2A	s_33427	0.766
MEF2A	s_33428	0.226
MEF2A	s_33429	0.445
MINPP1	s_33968	0.576
MINPP1	s_33969	1
MINPP1	s_33970	0.493
MINPP1	s_33971	0.629
SLC52A2	s_52057	1
SLC52A2	s_52058	0.738
SLC52A2	s_52059	1
SLC52A2	s_52060	0.482
IQCH	s_27776	0.775
IQCH	s_27777	1
IQCH	s_27778	0.955
IQCH	s_27779	0.702
SLC9A9	s_52310	0.59
SLC9A9	s_52311	0.335
RP11-865B13.1	s_47980	1
RP11-865B13.1	s_47981	1
GABRD	s_21994	1
GABRD	s_21995	0.929
GABRD	s_21996	1
GABRD	s_21997	0.619
FBXO10	s_20483	0.793
FBXO10	s_20484	0.944
FBXO10	s_20485	0.237
HOXB1	s_25856	1
HOXB1	s_25857	0.679
HOXB1	s_25858	0.804
HOXB1	s_25859	1
CUL3	s_14311	0.206
CUL3	s_14312	0.658
CUL3	s_14313	0.791
CUL3	s_14314	0.772
CUL3	s_14315	0.0937
CUL3	s_14316	0.706
HECW2	s_25025	1
HECW2	s_25026	1
HECW2	s_25027	0.316
HECW2	s_25028	0.468
HECW2	s_25029	1
NME2	s_37306	0.606
NME2	s_37308	0.964
5-Sep	s_49879	0.878
5-Sep	s_49880	1
5-Sep	s_49881	1
5-Sep	s_49882	1
5-Sep	s_49883	0.497
COL23A1	s_12909	0.51
COL23A1	s_12910	1
COL23A1	s_12911	1
COL23A1	s_12912	0.394
CELF5	s_11157	0.795
CELF5	s_11158	0.831
CELF5	s_11159	1
CELF5	s_11160	0.906
GRAMD1B	s_24004	1
GRAMD1B	s_24005	1
GRAMD1B	s_24006	0.585
GRAMD1B	s_24007	0.492
ATF5	s_4114	1
ATF5	s_4115	0.997
ATF5	s_4116	0.895
PCDHB14	s_40590	0.809
PCDHB14	s_40591	0.56
FGF18	s_20912	0.484
FGF18	s_20913	1
FGF18	s_20914	1
CATSPERG	s_9296	1
CATSPERG	s_9297	0.868
CATSPERG	s_9298	0.929
CATSPERG	s_9299	0.32
GRIN3B	s_24136	1
GRIN3B	s_24137	0.752
GRIN3B	s_24138	1
GRIN3B	s_24139	0.975
HRC	s_26062	0.974
HRC	s_26063	0.858
HRC	s_26064	0.694
PKHD1	s_42159	0.912
PKHD1	s_42160	1
PKHD1	s_42161	0.508
RHD	s_47186	0.643
RHD	s_47187	0.357
SEC22C	s_49626	0.951
SEC22C	s_49627	0.257
SEC22C	s_49628	0.438
SEC22C	s_49629	0.976
LRP11	s_31546	0.532
LRP11	s_31547	0.595
LRP11	s_31548	0.699
LRP11	s_31549	0.799
ANKRD44	s_2577	0.643
ANKRD44	s_2578	1
ANKRD44	s_2579	0.614
ANKRD44	s_2580	0.18
ANKRD44	s_2581	0.905
ANKRD44	s_2582	0.421
EMR1	s_18170	1
EMR1	s_18171	0.737
EMR1	s_18172	0.209
OPRK1	s_38817	0.536
OPRK1	s_38818	0.958
OPRK1	s_38819	1
OS9	s_39610	0.716
OS9	s_39611	0.643
OS9	s_39612	0.971
OS9	s_39613	0.819
OS9	s_39614	0.807
EMID1	s_18118	0.622
EMID1	s_18119	1
EMID1	s_18120	0.473
KLHL20	s_29743	0.99
KLHL20	s_29744	0.671
KLHL20	s_29745	1
KLHL20	s_29746	1
KCNK2	s_28753	0.972
KCNK2	s_28754	0.73
KCNK2	s_28755	0.982
TM4SF1	s_56865	1
TM4SF1	s_56866	1
TM4SF1	s_56867	1
TM4SF1	s_56868	0.913
TJP1	s_56736	0.404
TJP1	s_56737	0.998
TJP1	s_56738	0.615
TJP1	s_56739	0.186
FLT3LG	s_21228	0.668
FLT3LG	s_21229	0.534
FLT3LG	s_21230	1
RPAP2	s_48062	0.643
RPAP2	s_48063	0.205
BVES	s_6013	0.465
BVES	s_6014	0.684
BVES	s_6015	0.898
IMPAD1	s_27420	0.405
IMPAD1	s_27421	0.229
IMPAD1	s_27422	0.781
IMPAD1	s_27423	0.964
MUSK	s_35440	1
MUSK	s_35441	0.89
MUSK	s_35442	0.938
MUSK	s_35443	1
PFDN1	s_41384	0.612
PFDN1	s_41385	0.845
ABRA	s_388	1
ABRA	s_389	0.47
ABRA	s_390	0.817
ABRA	s_391	0.962
HNRNPK	s_25748	0.891
HNRNPK	s_25749	1
AMH	s_2213	1
AMH	s_2214	0.925
AMH	s_2215	1
AMH	s_2216	1
HNRNPUL1	s_25764	0.871
HNRNPUL1	s_25765	0.63
HNRNPUL1	s_25766	1
HNRNPUL1	s_25767	0.766
HNRNPUL1	s_25768	0.771
KAT2B	s_28417	0.54
KAT2B	s_28418	0.874
KAT2B	s_28419	0.727
ERI2	s_18647	0.88
ERI2	s_18648	0.909
ERI2	s_18649	0.973
ERI2	s_18650	0.683
C10orf129	s_6074	1
C10orf129	s_6075	1
C10orf129	s_6076	0.885
OR8H3	s_39529	1
OR8H3	s_39530	0.979
PRR23C	s_44399	0.936
PRR23C	s_44400	0.861
MPHOSPH10	s_34473	1
MPHOSPH10	s_34474	0.34
MPHOSPH10	s_34475	0.01
MPHOSPH10	s_34476	0.561
MPHOSPH10	s_34477	0.786
IL1RL2	s_27175	0.861
IL1RL2	s_27176	1
IL1RL2	s_27177	0.525
KRT82	s_30166	1
KRT82	s_30167	1
LTN1	s_32040	1
LTN1	s_32041	0.901
LTN1	s_32042	0.46
LTN1	s_32043	0.377
FAM135B	s_19437	0.756
FAM135B	s_19438	0.825
FAM135B	s_19439	0.753
FAM135B	s_19440	0.743
COX6A1	s_13229	0.777
COX6A1	s_13230	0.399
CLCN7	s_12117	0.462
CLCN7	s_12118	0.692
CLCN7	s_12119	0.765
CLCN7	s_12120	0.76
CLCN7	s_12121	0.869
ALKBH4	s_2053	0.666
ALKBH4	s_2054	0.686
ALKBH4	s_2055	0.849
IGHMBP2	s_26899	1
IGHMBP2	s_26900	1
IGHMBP2	s_26901	1
IGHMBP2	s_26902	0.723
PRPF4B	s_44329	0.458
PRPF4B	s_44330	0.395
PRPF4B	s_44331	0.801
TMEM54	s_57697	0.32
TMEM54	s_57698	1
TMEM54	s_57699	1
TMEM54	s_57700	1
TMEM54	s_57701	0.405
TMEM54	s_57702	0.985
GSTM4	s_24330	0.511
GSTM4	s_24331	0.259
GSTM4	s_24332	0.75
GSTM4	s_24333	1
GTF2I	s_24418	1
GTF2I	s_24419	0.628
GTF2I	s_24420	0.978
KRTAP12-4	s_30217	0.885
KRTAP12-4	s_30218	1
TMPRSS5	s_57954	0.533
TMPRSS5	s_57955	1
CNIH	s_12619	0.777
CNIH	s_12620	0.825
HK3	s_25476	0.402
HK3	s_25477	0.897
TNPO3	s_58257	1
TNPO3	s_58258	0.541
TNPO3	s_58259	0.124
TNPO3	s_58260	0.474
ABT1	s_396	0.905
ABT1	s_397	0.389
ABT1	s_398	0.803
ABT1	s_399	0.726
GPR82	s_23880	0.406
GPR82	s_23881	0.932
KCNRG	s_28843	0.426
KCNRG	s_28844	0.612
KCNRG	s_28845	1
KCNRG	s_28846	0.152
PSTPIP1	s_44873	0.531
PSTPIP1	s_44874	0.586
PSTPIP1	s_44875	1
PSTPIP1	s_44876	0.521
KCNH3	s_28628	1
KCNH3	s_28629	0.655
KCNH3	s_28630	0.565
KCNH3	s_28631	0.827
SLC25A10	s_51328	0.591
SLC25A10	s_51329	1
SLC25A10	s_51330	0.848
SLC25A10	s_51331	0.577
MECOM	s_33314	0.611
MECOM	s_33315	0.864
MECOM	s_33316	0.227
MECOM	s_33317	0.82
hsa-mir-3187	s_65015	1
hsa-mir-3187	s_65016	1
hsa-mir-3187	s_65017	1
TBRG1	s_55672	1
TBRG1	s_55673	0.612
TBRG1	s_55674	0.79
TBRG1	s_55675	1
CHCHD10	s_11561	1
CHCHD10	s_11562	0.757
CABLES2	s_8630	1
CABLES2	s_8631	0.83
CABLES2	s_8632	1
CABLES2	s_8633	1
ENTHD1	s_18302	0.857
ENTHD1	s_18303	0.633
ENTHD1	s_18304	0.987
DSTYK	s_16936	0.455
DSTYK	s_16937	0.37
DSTYK	s_16938	1
DSTYK	s_16939	0.942
DSTYK	s_16940	1
DSTYK	s_16941	0.729
HINT1	s_25311	0.319
HINT1	s_25312	0.871
HINT1	s_25313	0.185
HINT1	s_25314	0.71
ZNF675	s_64438	1
ZNF675	s_64439	0.811
ZNF675	s_64440	0.708
KIAA1737	s_29340	1
KIAA1737	s_29341	0.716
KIAA1737	s_29342	0.766
KIAA1737	s_29343	0.472
ZNF710	s_64541	0.927
ZNF710	s_64542	0.799
ZNF710	s_64543	0.836
ZNF710	s_64544	0.606
ZNF500	s_64021	1
ZNF500	s_64022	0.666
ZNF500	s_64023	0.838
ZNF500	s_64024	0.419
S100Z	s_48873	0.151
S100Z	s_48874	0.0401
S100Z	s_48875	0.84
S100Z	s_48876	0.974
CCT3	s_10176	0.0978
CCT3	s_10177	0.705
CCT3	s_10178	0.435
CCT3	s_10179	1
CCT3	s_10180	0.517
CCT3	s_10181	0.688
CCT3	s_10182	0.422
CCT3	s_10183	0.983
DAB2	s_14887	0.664
DAB2	s_14888	0.44
DAB2	s_14889	1
DAB2	s_14890	0.2
DAB2	s_14891	0.841
POU6F2	s_43252	0.361
POU6F2	s_43253	0.323
POU6F2	s_43254	0.769
ADPRHL2	s_1331	1
ADPRHL2	s_1332	0.896
ADPRHL2	s_1333	0.652
ADPRHL2	s_1334	1
ADPRHL2	s_1335	1
ADPRHL2	s_1336	0.963
CKMT2	s_12057	1
CKMT2	s_12058	1
CKMT2	s_12059	0.584
CKMT2	s_12060	0.842
ZDHHC6	s_62911	0.958
ZDHHC6	s_62912	0.724
SCN9A	s_49360	0.01
SCN9A	s_49361	1
SCN9A	s_49362	0.397
SCN9A	s_49363	1
SAP18	s_49012	0.659
SAP18	s_49013	1
C11orf41	s_6180	0.728
C11orf41	s_6181	0.532
C11orf41	s_6182	0.296
C11orf41	s_6183	1
SLC37A1	s_51799	0.639
SLC37A1	s_51800	0.497
SLC37A1	s_51801	1
SLC37A1	s_51802	1
ANKRD30A	s_2530	0.563
ANKRD30A	s_2531	0.623
ANKRD30A	s_2532	0.257
CHD3	s_11597	0.606
CHD3	s_11598	0.01
CHD3	s_11599	0.908
CHST7	s_11895	1
CHST7	s_11896	1
SRSF2	s_53949	0.387
SRSF2	s_53950	0.898
SRSF2	s_53951	1
SRSF2	s_53952	0.692
IDH1	s_26582	0.469
IDH1	s_26583	0.51
IDH1	s_26584	0.432
IDH1	s_26585	0.656
MGEA5	s_33826	0.558
MGEA5	s_33827	0.811
MGEA5	s_33828	0.978
BIRC2	s_5442	1
BIRC2	s_5443	0.715
BIRC2	s_5444	0.0563
SMARCAD1	s_52510	0.709
SMARCAD1	s_52511	0.894
SMARCAD1	s_52512	0.766
SMARCAD1	s_52513	0.319
TMEM102	s_57065	0.866
TMEM102	s_57066	0.95
TMEM102	s_57067	0.922
TUT1	s_59886	0.389
TUT1	s_59887	0.842
TUT1	s_59888	0.739
TUT1	s_59889	0.499
SYCP2	s_54897	0.732
SYCP2	s_54898	0.0958
SYCP2	s_54899	0.583
SYCP2	s_54900	0.348
RAPGEF2	s_46084	0.84
RAPGEF2	s_46085	0.346
RAPGEF2	s_46086	0.6
RAPGEF2	s_46087	0.199
RNF182	s_47661	1
RNF182	s_47662	0.377
WDR85	s_61864	1
WDR85	s_61865	0.572
WDR85	s_61866	1
WDR85	s_61867	0.626
PIP5KL1	s_42050	0.595
PIP5KL1	s_42051	1
PIP5KL1	s_42052	0.621
PIP5KL1	s_42053	0.378
PIP5KL1	s_42054	0.707
PIP5KL1	s_42055	0.951
EPAS1	s_18354	0.742
EPAS1	s_18355	1
EPAS1	s_18356	0.543
EPAS1	s_18357	0.771
DOK2	s_16643	1
DOK2	s_16644	1
DOK2	s_16645	0.86
CHKA	s_11681	0.766
CHKA	s_11682	1
CHKA	s_11683	1
RNF168	s_47635	0.855
RNF168	s_47636	1
FLVCR1	s_21235	0.044
FLVCR1	s_21236	0.935
FLVCR1	s_21237	0.771
BRAF	s_5691	0.668
BRAF	s_5692	0.294
BRAF	s_5693	0.673
PARK7	s_40270	0.753
PARK7	s_40271	0.77
PARK7	s_40272	1
PIGS	s_41884	1
PIGS	s_41885	0.586
PIGS	s_41886	0.171
DNAAF3	s_16305	1
DNAAF3	s_16306	1
SDS	s_49571	0.601
SDS	s_49572	1
SDS	s_49573	0.917
SDS	s_49574	0.425
DNAJB2	s_16383	0.786
DNAJB2	s_16384	0.201
ZNF644	s_64372	1
ZNF644	s_64373	0.893
ZNF644	s_64374	0.778
CLCNKB	s_12128	1
CLCNKB	s_12129	0.639
CLCNKB	s_12130	0.634
CLCNKB	s_12131	0.751
CLCNKB	s_12132	0.949
CLCNKB	s_12133	1
CLCNKB	s_12134	0.395
AC112502.1	s_483	0.139
AC112502.1	s_484	0.891
AC112502.1	s_485	0.891
TMEM190	s_57402	0.568
TMEM190	s_57403	1
TMEM190	s_57404	1
BLID	s_5469	1
BLID	s_5470	0.825
ALS2CR11	s_2143	0.363
ALS2CR11	s_2144	1
ALS2CR11	s_2145	1
ALS2CR11	s_2146	0.538
C11orf9	s_6270	1
C11orf9	s_6271	1
C11orf9	s_6272	0.93
C11orf9	s_6273	0.693
XPO1	s_62288	0.676
XPO1	s_62289	0.695
RAB1B	s_45612	0.863
RAB1B	s_45613	1
HIST1H2BF	s_25385	0.996
HIST1H2BF	s_25386	0.782
CLDN6	s_12192	0.707
CLDN6	s_12193	0.725
PLAC8L1	s_42321	1
PLAC8L1	s_42322	0.209
PLAC8L1	s_42323	0.898
PLAC8L1	s_42324	0.764
MMP23B	s_34224	1
MMP23B	s_34225	1
OR4D6	s_39191	0.717
OR4D6	s_39192	0.611
RAB8B	s_45790	0.167
RAB8B	s_45791	1
RAB8B	s_45792	0.817
DCXR	s_15294	1
DCXR	s_15295	0.644
DCXR	s_15296	1
DCXR	s_15297	0.551
FAM213A	s_19854	0.254
FAM213A	s_19855	0.321
FAM213A	s_19856	1
DTWD1	s_16962	0.308
DTWD1	s_16963	0.384
DTWD1	s_16964	1
DHRS7B	s_15876	0.771
DHRS7B	s_15877	1
DHRS7B	s_15878	0.553
DHRS7B	s_15879	0.952
MPPED1	s_34532	0.733
MPPED1	s_34533	0.678
MPPED1	s_34534	0.377
MPPED1	s_34535	1
ADCY2	s_1167	0.628
ADCY2	s_1168	0.627
ADCY2	s_1169	0.617
ADCY2	s_1170	0.912
ADCY2	s_1171	1
PDCD1LG2	s_40849	0.636
PDCD1LG2	s_40850	1
PDCD1LG2	s_40851	0.807
MCM5	s_33170	0.516
MCM5	s_33171	0.11
MCM5	s_33172	0.762
LPCAT3	s_31395	1
LPCAT3	s_31396	0.72
LPCAT3	s_31397	0.932
P2RX7	s_39910	1
P2RX7	s_39911	0.613
P2RX7	s_39912	0.733
SF1	s_50163	1
SF1	s_50164	0.586
SF1	s_50165	0.32
SF1	s_50166	1
NPEPPS	s_37638	0.876
NPEPPS	s_37639	0.819
TUBGCP5	s_59843	0.48
TUBGCP5	s_59844	0.792
L2HGDH	s_30354	1
L2HGDH	s_30355	0.442
L2HGDH	s_30356	0.835
FXYD7	s_21850	0.532
FXYD7	s_21851	0.703
FXYD7	s_21852	0.791
NPAT	s_37612	0.372
NPAT	s_37613	0.242
NPAT	s_37614	0.59
NPAT	s_37615	0.01
OR4F5	s_39199	0.811
OR4F5	s_39200	0.805
OR4F5	s_39201	0.651
SH3RF2	s_50506	1
SH3RF2	s_50507	0.334
SH3RF2	s_50508	0.838
SH3RF2	s_50509	0.574
OVOL2	s_39827	1
OVOL2	s_39828	0.903
OVOL2	s_39829	0.741
OVOL2	s_39830	0.847
DNMT3A	s_16568	0.29
DNMT3A	s_16569	1
DNMT3A	s_16570	1
DNMT3A	s_16571	0.964
DNMT3A	s_16572	0.715
DNMT3A	s_16573	0.836
DNMT3A	s_16574	0.514
DNMT3A	s_16575	0.582
DNMT3A	s_16576	0.781
DNMT3A	s_16577	1
VHL	s_61255	0.309
VHL	s_61256	0.561
VHL	s_61257	0.388
VHL	s_61258	0.387
VHL	s_61259	1
ELL2	s_17988	0.739
ELL2	s_17989	1
ELL2	s_17990	0.205
RHOD	s_47220	1
RHOD	s_47221	0.759
RHOD	s_47222	1
EPC1	s_18389	0.649
EPC1	s_18390	0.678
EPC1	s_18391	1
PRRT2	s_44459	0.842
PRRT2	s_44460	0.769
PRRT2	s_44461	0.309
PRRT2	s_44462	0.01
ADAM20	s_973	1
ADAM20	s_974	0.976
MUC22	s_35398	1
MUC22	s_35399	0.321
MUC22	s_35400	0.837
MUC22	s_35401	0.866
ISCA1	s_27921	0.886
ISCA1	s_27922	0.375
RBX1	s_46566	0.905
RBX1	s_46567	0.971
RBX1	s_46568	0.745
RBX1	s_46569	0.845
VARS	s_61112	0.429
VARS	s_61113	0.561
VARS	s_61114	0.742
VARS	s_61115	1
GTPBP10	s_24456	0.564
GTPBP10	s_24457	0.287
GTPBP10	s_24458	0.888
DEFB1	s_15533	1
DEFB1	s_15534	1
DEFB1	s_15535	0.98
SRRD	s_53920	0.01
SRRD	s_53921	0.475
SRRD	s_53922	0.566
ZBTB7C	s_62682	0.282
ZBTB7C	s_62683	0.434
ZBTB7C	s_62684	0.145
ZBTB7C	s_62685	1
HINFP	s_25307	0.544
HINFP	s_25308	0.652
HINFP	s_25309	0.815
HINFP	s_25310	0.343
NDUFA2	s_36446	0.527
NDUFA2	s_36447	0.891
NDUFA2	s_36448	0.64
NDUFA2	s_36449	0.657
ATP13A5	s_4271	1
ATP13A5	s_4272	0.924
ATP13A5	s_4273	1
ATP13A5	s_4274	1
ATP13A5	s_4275	0.815
ATP13A5	s_4276	0.218
SLC24A5	s_51317	0.0935
SLC24A5	s_51318	0.667
SLC24A5	s_51319	0.802
SLC24A5	s_51320	0.394
MAPRE3	s_32796	0.663
MAPRE3	s_32797	0.58
MAPRE3	s_32798	0.527
MAPRE3	s_32799	0.44
SYNPO2L	s_55002	0.764
SYNPO2L	s_55003	1
SYNPO2L	s_55004	0.298
SYNPO2L	s_55005	0.707
SYNPO2L	s_55006	0.696
SYNPO2L	s_55007	1
SYNPO2L	s_55008	0.253
