Gene	sgRNA	eff
TM4SF19	s_56874	0.247
TM4SF19	s_56875	0.465
TM4SF19	s_56876	0.66
TM4SF19	s_56877	0.829
TM4SF19	s_56878	0.559
TM4SF19	s_56879	0.229
TM4SF19	s_56880	0.685
LYPD3	s_32182	1
LYPD3	s_32183	0.798
LYPD3	s_32184	1
CSF1	s_13843	0.566
CSF1	s_13844	0.617
CSF1	s_13845	0.867
PAFAH1B2	s_40032	1
PAFAH1B2	s_40033	0.564
PAFAH1B2	s_40034	0.593
PAFAH1B2	s_40035	0.623
PAFAH1B2	s_40036	0.01
CYB5R3	s_14573	0.639
CYB5R3	s_14574	1
CYB5R3	s_14575	0.766
ZSCAN29	s_64927	0.929
ZSCAN29	s_64928	1
ZSCAN29	s_64929	0.28
MAN1C1	s_32509	1
MAN1C1	s_32510	0.662
MAN1C1	s_32511	0.711
ZNF563	s_64164	0.938
ZNF563	s_64165	0.721
ZNF563	s_64166	0.629
ZNF563	s_64167	0.625
SLC24A4	s_51312	1
SLC24A4	s_51313	0.614
SLC24A4	s_51314	0.348
SLC24A4	s_51315	0.207
SLC24A4	s_51316	0.8
INHBB	s_27494	1
INHBB	s_27495	1
INHBB	s_27496	0.832
INHBB	s_27497	1
INHBB	s_27498	0.706
INHBB	s_27499	0.834
KLK13	s_29862	0.277
KLK13	s_29863	0.769
KLK13	s_29864	1
KLK13	s_29865	0.664
VRK1	s_61425	0.886
VRK1	s_61426	0.894
VRK1	s_61427	1
VRK1	s_61428	0.713
TFPT	s_56313	1
TFPT	s_56314	1
TFPT	s_56315	0.0632
GJB5	s_22884	0.756
GJB5	s_22885	0.713
GJB5	s_22886	0.312
SHFM1	s_50567	0.198
SHFM1	s_50568	0.551
CCDC171	s_9647	0.01
CCDC171	s_9648	0.377
CRH	s_13602	1
CRH	s_13603	0.913
MSS51	s_35087	0.88
MSS51	s_35088	0.518
MSS51	s_35089	0.77
MSS51	s_35090	0.691
TMPRSS11BNL	s_57915	1
TMPRSS11BNL	s_57916	0.487
TMPRSS11BNL	s_57917	0.846
TMPRSS11BNL	s_57918	0.696
SIPA1	s_50759	0.399
SIPA1	s_50760	0.939
SIPA1	s_50761	1
SMAD9	s_52476	1
SMAD9	s_52477	0.556
SMAD9	s_52478	0.555
SMAD9	s_52479	0.446
CCNH	s_10068	0.446
CCNH	s_10069	0.743
CCNH	s_10070	0.834
CALHM2	s_8846	1
CALHM2	s_8847	1
CALHM2	s_8848	0.699
CALHM2	s_8849	0.604
SNCG	s_52769	0.844
SNCG	s_52770	0.503
SNCG	s_52771	0.939
GP6	s_23480	1
GP6	s_23481	0.439
SFPQ	s_50204	1
SFPQ	s_50205	0.575
SFPQ	s_50206	0.709
BBS4	s_5054	0.659
BBS4	s_5055	1
BBS4	s_5056	0.559
BBS4	s_5057	0.734
BBS4	s_5058	0.0398
BBS4	s_5059	0.646
FGF17	s_20910	0.746
FGF17	s_20911	0.503
OR2A4	s_39018	1
OR2A4	s_39019	0.334
RPA1	s_48044	0.889
RPA1	s_48045	0.555
RPA1	s_48046	1
GEMIN5	s_22594	0.809
GEMIN5	s_22595	0.322
GEMIN5	s_22596	1
GEMIN5	s_22597	1
PARP6	s_40321	1
PARP6	s_40322	0.962
ASNS	s_3982	1
ASNS	s_3983	0.866
HRH4	s_26081	0.195
HRH4	s_26082	0.927
HRH4	s_26083	0.891
HRH4	s_26084	0.376
HRH4	s_26085	0.324
MESDC1	s_33526	1
MESDC1	s_33527	0.804
MEGF10	s_33450	1
MEGF10	s_33451	1
MEGF10	s_33452	0.842
MRPL16	s_34658	1
MRPL16	s_34659	0.944
MRPL16	s_34660	0.688
CARHSP1	s_9131	1
CARHSP1	s_9132	0.832
CARHSP1	s_9133	1
CARHSP1	s_9134	0.566
PPCDC	s_43338	0.493
PPCDC	s_43339	0.867
PPCDC	s_43340	0.7
GMDS	s_23142	0.655
GMDS	s_23143	0.789
GMDS	s_23144	0.757
GMDS	s_23145	1
GMDS	s_23146	0.471
GMDS	s_23147	0.76
FAM190A	s_19715	1
FAM190A	s_19716	1
FAM190A	s_19717	0.406
FAM190A	s_19718	0.497
SLC19A2	s_51161	0.738
SLC19A2	s_51162	0.355
SLC19A2	s_51163	0.699
SLC19A2	s_51164	0.745
SLC19A2	s_51165	0.761
CDK14	s_10847	0.205
CDK14	s_10848	0.419
CDK14	s_10849	1
FAM186B	s_19677	1
FAM186B	s_19678	0.813
FAM186B	s_19679	0.443
SKIL	s_50874	1
SKIL	s_50875	0.734
SKIL	s_50876	0.779
SKIL	s_50877	1
SPATA6	s_53380	0.602
SPATA6	s_53381	1
SPATA6	s_53382	0.846
SPATA6	s_53383	0.717
C1S	s_7065	0.432
C1S	s_7066	0.532
C1S	s_7067	0.941
USP54	s_60970	0.575
USP54	s_60971	0.925
USP54	s_60972	1
USP54	s_60973	0.688
TNFSF10	s_58132	0.644
TNFSF10	s_58133	0.0653
TNFSF10	s_58134	0.01
TNFSF10	s_58135	0.133
TNFSF10	s_58136	1
TNFSF10	s_58137	0.943
ETFDH	s_18805	0.389
ETFDH	s_18806	1
ETFDH	s_18807	0.875
ETFDH	s_18808	0.689
CLEC4M	s_12283	0.871
CLEC4M	s_12284	1
LTB4R2	s_32006	0.868
LTB4R2	s_32007	0.56
CHP1	s_11758	1
CHP1	s_11759	0.0973
CHP1	s_11760	0.717
CHP1	s_11761	1
CHAF1A	s_11544	0.875
CHAF1A	s_11545	0.652
